Title,Salutation,Surname,First Name,Other Name,Preferred Name,Initials,Post Nominals,State,Political Party,Gender,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Label Address,Label Suburb,Label State,Label postcode,Parliamentary Titles
Senator,Senator,Allman-Payne,Penny,Jane,Penny,P.J.,,QLD,AG,Female,20-22 Herbert Street,,Gladstone,QLD,4680,(07) 4972 0380,,,PO Box 5304,Gladstone,QLD,4680,
Senator,Senator,Antic,Alexander,,Alex,A.,,SA,LP,Male,398 Main North Road,,Blair Athol,SA,5084,(08) 8205 1080,,,398 Main North Road,Blair Athol,SA,5084,
Senator,Senator,Askew,Wendy,,Wendy,W.,,TAS,LP,Female,46 Cameron Street,,Launceston,TAS,7250,(03) 6331 8501,,1300 134 468,PO Box 97,Launceston,TAS,7250,Opposition Whip in the Senate
Senator the Hon,Senator,Ayres,Timothy,,Tim,T.,,NSW,ALP,Male,Level 3,1A Lawson Square,Redfern,NSW,2016,(02) 9159 9330,,,PO Box 3306,Redfern,NSW,2016,Assistant Minister for Trade; Assistant Minister for Manufacturing
Senator,Senator,Babet,Ralph,Didier,Ralph,R.D.,,VIC,UAP,Male,Suite 2,77 Victor Crescent,Narre Warren,VIC,3805,(03) 9070 1900,,,"Suite 2, 77 Victor Crescent",Narre Warren,VIC,3805,United Australia Party Whip
Senator,Senator,Bilyk,Catryna,Louise,Catryna,C.L.,,TAS,ALP,Female,"Suite 3, Kingston Plaza",20 Channel Highway,Kingston,TAS,7050,(03) 6229 4444,(03) 6229 4100,1300 855 225,PO Box 320,Kingston,TAS,7051,
Senator the Hon,Senator,Birmingham,Simon,John,Simon,S.J.,,SA,LP,Male,107 Sir Donald Bradman Drive,,Hilton,SA,5033,(08) 8354 1644,(08) 8354 1655,1300 301 638,107 Sir Donald Bradman Drive,Hilton,SA,5033,Leader of the Opposition in the Senate
Senator,Senator,Bragg,Andrew,James,Andrew,A.J.,,NSW,LP,Male,"Suite 23.03, Level 23",56 Pitt  Street,Sydney,NSW,2000,(02) 9159 9320,,,GPO Box 5411,Sydney,NSW,2001,
Senator,Senator,Brockman,William,Edward,Slade,W.E.S.,,WA,LP,Male,"Unit 4, ",1 Harper Terrace,South Perth,WA,6151,(08) 6245 3305,,,"Unit 4, 1 Harper Terrace ",South Perth,WA,6151,
Senator the Hon,Senator,Brown,Carol,Louise,Carol,C. L.,,TAS,ALP,Female,1st Floor,136 Davey Street,Hobart,TAS,7000,(03) 6231 0099,,1300 030 532,GPO Box 376,Hobart,TAS,7001,Assistant Minister for Infrastructure and Transport
Senator,Senator,Cadell,Ross,Philip,Ross,R.P.,,NSW,NATS,Male,Ground Floor,28-30 Bolton Street,Newcastle,NSW,2300,(02) 6492 0586,,,"Ground Floor, 28-30 Bolton Street",Newcastle,NSW,2300,Nationals Whip in the Senate
Senator the Hon,Senator,Canavan,Matthew,James,Matthew,M.J.,,QLD,NATS,Male,Ground Floor,34 East Street,Rockhampton,QLD,4700,(07) 4927 2003,,,PO Box 737,Rockhampton,QLD,4700,
Senator the Hon,Senator,Cash,Michaelia,Clare,Michaelia,M.C.,,WA,LP,Female,44 Outram Street,,West Perth,WA,6005,(08) 9226 2000,(08) 9226 2211,,PO Box 1966,West Perth,WA,6872,Deputy Leader of the Opposition in the Senate
Senator,Senator,Chandler,Claire,,Claire,C.,,TAS,LP,Female,42 Bridge Street,,Richmond,TAS,7025,(03) 6260 2018,,,PO Box 250,Richmond,TAS,7025,
Senator the Hon,Senator,Chisholm,Anthony,David,Anthony,A.D.,,QLD,ALP,Male,Level 1,53 Endeavour Boulevard,North Lakes,QLD,4509,(07) 3881 3710,,,PO Box 1117,North Lakes,QLD,4509,Assistant Minister for Education; Assistant Minister for Regional Development (Deputy Manager of Government Business in the Senate)
